Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Pre-processing time (ms)","Move-Log Fitness","Trace Length","Exit code of alignment for trace","Approximate memory used (kb)","Number of LPs solved","Queued States",Match
689,"trace_553",1,Yes,"6.00","12.44","99.00","0.90","0.83","0.07","0.82","22.00","1.00","18.00","3.00","100.00",[L]SLRRP|[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP|[L]FRP
690,"trace_590",1,Yes,"3.00","7.00","126.00","0.95","0.92","0.07","0.91","23.00","1.00","15.00","2.00","128.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L]SRPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
691,"trace_606",1,Yes,"6.00","12.11","96.00","0.90","0.83","0.06","0.82","22.00","1.00","18.00","3.00","97.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]HRHA|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L]LRIRV|[L/M]FHRRPC|[L]FLRRP|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
692,"trace_659",1,Yes,"7.00","15.66","172.00","0.89","0.80","0.03","0.77","22.00","1.00","26.00","4.00","174.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L]FRPP|[L]SLRRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L]LRIRV|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
693,"trace_712",1,Yes,"7.00","13.66","150.00","0.89","0.80","0.02","0.77","22.00","1.00","20.00","3.00","151.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L]SHRRP|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L]MHRRPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
694,"trace_761",1,Yes,"3.00","6.86","112.00","0.95","0.92","0.03","0.91","23.00","1.00","15.00","2.00","112.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L]REPC|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[M-REAL]HRRR|[L/M]FHRRP|[L/M]FRP
695,"trace_763",1,Yes,"9.00","19.48","285.00","0.79","0.73","0.03","0.75","20.00","1.00","34.00","5.00","288.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[M-REAL]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP|[L]LRIRV
696,"trace_783",1,Yes,"8.00","23.74","132.00","0.80","0.76","0.05","0.80","20.00","1.00","24.00","4.00","135.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[L/M]FHRRP|[M-REAL]FRP
697,"trace_789",1,Yes,"8.00","24.37","143.00","0.80","0.76","0.06","0.80","20.00","1.00","24.00","5.00","144.00",[M-REAL]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[L/M]SHRRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
698,"trace_914",1,Yes,"10.00","20.91","89.00","0.70","0.68","0.03","0.78","18.00","1.00","17.00","3.00","90.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]HRRAN|[M-REAL]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
699,"trace_980",1,Yes,"2.00","3.69","87.00","0.92","0.94","0.04","1.00","22.00","1.00","10.00","1.00","87.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[M-REAL]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
700,"trace_1001",1,Yes,"11.00","20.64","223.00","0.81","0.68","0.04","0.62","21.00","1.00","32.00","5.00","228.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[L]REPP|[L/M]FRPP|[L]RIBPC|[L]REPC|[L]SRPP|[L]SRP|[L]FRP|[M-REAL]EPP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]HRHA|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
701,"trace_1023",1,Yes,"6.00","13.46","191.00","0.95","0.83","0.03","0.78","23.00","1.00","21.00","3.00","191.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]REPP|[L]FRPP|[L]REPC|[L]RIBPC|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[M-REAL]FRP
702,"trace_1026",1,Yes,"5.00","11.84","93.00","0.95","0.86","0.04","0.83","23.00","1.00","18.00","3.00","93.00",[L/M]SRP|[L]FHRRPC|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]HRRAN|[L]SRPP|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
703,"trace_1080",1,Yes,"8.00","14.91","125.00","0.84","0.76","0.03","0.76","21.00","1.00","24.00","4.00","129.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[L]REPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]HRRAN|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
704,"trace_1103",1,Yes,"9.00","31.09","243.00","0.79","0.73","0.03","0.75","20.00","1.00","48.00","7.00","250.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L]LRIRV|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP
705,"trace_1164",1,Yes,"2.00","3.58","86.00","1.00","0.95","0.04","0.92","24.00","1.00","10.00","1.00","86.00",[L]EPP|[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L]AHRRPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
706,"trace_1170",1,Yes,"5.00","10.19","134.00","0.95","0.86","0.03","0.83","23.00","1.00","20.00","3.00","135.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L]LRRR|[L/M]FHRRPC|[L]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
707,"trace_1252",1,Yes,"2.00","7.93","114.00","1.00","0.95","0.03","0.92","24.00","1.00","15.00","2.00","114.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]MHRRPC|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L]HRHA|[L/M]HRHA|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
708,"trace_1278",1,Yes,"3.00","7.34","117.00","0.95","0.92","0.03","0.91","23.00","1.00","15.00","2.00","117.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L]REPP|[L]SHRRPC|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
709,"trace_1279",1,Yes,"6.00","12.73","210.00","0.95","0.83","0.09","0.78","23.00","1.00","22.00","5.00","210.00",[L]SLRRP|[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[M-REAL]LRIRV|[L/M]LRRR|[L]LRIRV|[L]LRIRV|[L/M]FLRRP|[L]LRRR|[L/M]FRP
710,"trace_1290",1,Yes,"3.00","3.36","87.00","0.95","0.92","0.03","0.91","23.00","1.00","10.00","2.00","87.00",[L]EPP|[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
711,"trace_1291",1,Yes,"7.00","13.46","146.00","0.89","0.80","0.03","0.77","22.00","1.00","20.00","4.00","147.00",[L]EPP|[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP|[L]REPC
712,"trace_1294",1,Yes,"6.00","13.16","95.00","0.90","0.83","0.05","0.82","22.00","1.00","18.00","3.00","96.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L]LRERV|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L]HRRAN|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
713,"trace_1304",1,Yes,"5.00","23.03","243.00","0.95","0.86","0.03","0.83","23.00","1.00","35.00","5.00","245.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRRAN|[L]SHRRP|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]HRRR|[L]AHRRPC|[L/M]FHRRP|[L/M]FRP
714,"trace_1305",1,Yes,"11.00","12.03","134.00","0.81","0.68","0.04","0.62","21.00","1.00","19.00","3.00","134.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L]FRPP|[L]REPP|[L/M]FRPP|[L]RBPC|[L]RIBPC|[L]SRPP|[L/M]EPP|[L]RHRRPC|[L/M]SHRRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
715,"trace_1311",1,Yes,"3.00","3.09","83.00","0.95","0.92","0.02","0.91","23.00","1.00","10.00","1.00","83.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]REPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L]EPP|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
716,"trace_1426",1,Yes,"10.00","14.76","133.00","0.70","0.68","0.02","0.78","18.00","1.00","24.00","4.00","136.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[M-REAL]FHRRPC|[L/M]RHRRPC|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
717,"trace_1443",1,Yes,"5.00","3.67","82.00","0.86","0.85","0.03","0.90","21.00","1.00","9.00","1.00","82.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]HRHA|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[M-REAL]HRRR|[M-REAL]FHRRP|[L/M]FRP|[L]SLRRP
718,"trace_1451",1,Yes,"10.00","12.06","89.00","0.70","0.68","0.04","0.78","18.00","1.00","17.00","3.00","90.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L]EPP|[L]SLRRP|[M-REAL]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
719,"trace_1473",1,Yes,"7.00","13.80","142.00","0.89","0.80","0.03","0.77","22.00","1.00","20.00","4.00","143.00",[L]FRP|[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L]AHRRPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
720,"trace_1478",1,Yes,"10.00","9.10","154.00","0.70","0.68","0.02","0.78","18.00","1.00","15.00","2.00","166.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[M-REAL]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRAN|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
721,"trace_1497",1,Yes,"8.00","12.21","127.00","0.80","0.76","0.03","0.80","20.00","1.00","19.00","3.00","128.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
722,"trace_1532",1,Yes,"9.00","24.73","205.00","0.79","0.73","0.04","0.75","20.00","1.00","39.00","6.00","210.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L]LRRR|[L/M]FRP|[L]FHRRP
723,"trace_1544",1,Yes,"6.00","14.17","187.00","0.90","0.83","0.03","0.82","22.00","1.00","26.00","4.00","189.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]SRP|[L/M]HRHA|[L/M]RHRRPC|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L]HRRAN|[L/M]FRP
724,"trace_1550",1,Yes,"2.00","5.94","89.00","1.00","0.95","0.03","0.92","24.00","1.00","14.00","2.00","89.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP|[L]SLRRP|[L]SRP
725,"trace_1578",1,Yes,"8.00","11.21","141.00","0.84","0.76","0.03","0.76","21.00","1.00","19.00","3.00","142.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP|[L]HRHA
726,"trace_1582",1,Yes,"7.00","11.30","143.00","0.89","0.80","0.07","0.77","22.00","1.00","20.00","3.00","144.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L]LRRR|[L]HRRAN|[L/M]FLRRP|[L/M]FRP
727,"trace_1585",1,Yes,"3.00","3.05","86.00","0.95","0.92","0.03","0.91","23.00","1.00","10.00","1.00","86.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRRAN|[L]FLRRP|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[M-REAL]FHRRP|[L/M]FRP
728,"trace_1594",1,Yes,"7.00","16.54","126.00","0.89","0.80","0.05","0.77","22.00","1.00","25.00","4.00","130.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[L]REPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]HRRAN|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L]HRRR|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
729,"trace_1693",1,Yes,"7.00","6.42","133.00","0.77","0.78","0.03","0.89","19.00","1.00","14.00","2.00","133.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
730,"trace_1696",1,Yes,"2.00","7.54","134.00","1.00","0.95","0.04","0.92","24.00","1.00","15.00","2.00","134.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]SLRRP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[L]REPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
731,"trace_1701",1,Yes,"7.00","31.03","193.00","0.89","0.80","0.02","0.77","22.00","1.00","40.00","6.00","199.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L]LRRR|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L]LRIRV|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
732,"trace_1704",1,Yes,"10.00","13.99","127.00","0.70","0.68","0.02","0.78","18.00","1.00","18.00","3.00","131.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRRAN|[L/M]HRHA|[M-REAL]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
733,"trace_1727",1,Yes,"7.00","32.71","186.00","0.89","0.80","0.04","0.77","22.00","1.00","40.00","6.00","190.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L]RBPC|[L]LRIRV|[L]SHRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
